#  filter_id=-24  npoints=1155   nu_min=0.4081632653E+04    dnu=0.3677146534E+00
   0.000000E+00   0.000000E+00   0.132311E-01   0.134919E-01   0.133231E-01
   0.136584E-01   0.138376E-01   0.141165E-01   0.143217E-01   0.143413E-01
   0.149237E-01   0.151358E-01   0.149078E-01   0.152970E-01   0.153971E-01
   0.155706E-01   0.158434E-01   0.161882E-01   0.162994E-01   0.166286E-01
   0.167562E-01   0.168466E-01   0.175087E-01   0.174741E-01   0.177642E-01
   0.180215E-01   0.183493E-01   0.185860E-01   0.188374E-01   0.190405E-01
   0.194114E-01   0.194228E-01   0.197652E-01   0.202938E-01   0.207000E-01
   0.207179E-01   0.211406E-01   0.213302E-01   0.215912E-01   0.219279E-01
   0.223888E-01   0.228698E-01   0.231593E-01   0.233910E-01   0.237122E-01
   0.242606E-01   0.244257E-01   0.248403E-01   0.254207E-01   0.259007E-01
   0.264184E-01   0.266342E-01   0.269907E-01   0.275151E-01   0.280449E-01
   0.285929E-01   0.292219E-01   0.294965E-01   0.297910E-01   0.304862E-01
   0.309531E-01   0.312306E-01   0.317903E-01   0.324976E-01   0.332178E-01
   0.338324E-01   0.340043E-01   0.348760E-01   0.354529E-01   0.359771E-01
   0.366745E-01   0.374111E-01   0.379033E-01   0.384662E-01   0.392086E-01
   0.400802E-01   0.408560E-01   0.413208E-01   0.422366E-01   0.431147E-01
   0.438756E-01   0.444686E-01   0.453033E-01   0.463870E-01   0.471463E-01
   0.477587E-01   0.486509E-01   0.498484E-01   0.506058E-01   0.515082E-01
   0.526168E-01   0.537153E-01   0.546889E-01   0.554122E-01   0.565891E-01
   0.576893E-01   0.591218E-01   0.602176E-01   0.609978E-01   0.622568E-01
   0.634082E-01   0.645634E-01   0.660366E-01   0.672378E-01   0.686390E-01
   0.701159E-01   0.711909E-01   0.726564E-01   0.740978E-01   0.754365E-01
   0.768678E-01   0.787921E-01   0.802006E-01   0.818349E-01   0.833854E-01
   0.853047E-01   0.868188E-01   0.887582E-01   0.905459E-01   0.924805E-01
   0.939533E-01   0.957270E-01   0.977380E-01   0.100391E+00   0.101781E+00
   0.104252E+00   0.106505E+00   0.108693E+00   0.110636E+00   0.112886E+00
   0.115269E+00   0.117702E+00   0.120145E+00   0.122507E+00   0.124985E+00
   0.127810E+00   0.130331E+00   0.133075E+00   0.135872E+00   0.138629E+00
   0.141315E+00   0.144231E+00   0.147357E+00   0.150517E+00   0.153560E+00
   0.156320E+00   0.159751E+00   0.163526E+00   0.165972E+00   0.169788E+00
   0.173020E+00   0.176922E+00   0.180134E+00   0.183779E+00   0.187578E+00
   0.191640E+00   0.195578E+00   0.199338E+00   0.203218E+00   0.207691E+00
   0.211478E+00   0.215475E+00   0.219416E+00   0.224496E+00   0.228499E+00
   0.232639E+00   0.237089E+00   0.241884E+00   0.246275E+00   0.250861E+00
   0.255645E+00   0.261084E+00   0.265658E+00   0.270544E+00   0.275032E+00
   0.280983E+00   0.285304E+00   0.290534E+00   0.295451E+00   0.301366E+00
   0.306393E+00   0.311713E+00   0.317322E+00   0.323085E+00   0.328177E+00
   0.333605E+00   0.339009E+00   0.345290E+00   0.350323E+00   0.356667E+00
   0.361945E+00   0.368256E+00   0.373251E+00   0.379141E+00   0.384997E+00
   0.391511E+00   0.397441E+00   0.403325E+00   0.409220E+00   0.415749E+00
   0.421312E+00   0.427246E+00   0.432997E+00   0.439663E+00   0.445743E+00
   0.451387E+00   0.457295E+00   0.463704E+00   0.469989E+00   0.475850E+00
   0.481909E+00   0.488024E+00   0.494101E+00   0.499932E+00   0.505888E+00
   0.512151E+00   0.518149E+00   0.523861E+00   0.529920E+00   0.535964E+00
   0.542037E+00   0.547274E+00   0.553823E+00   0.559221E+00   0.565768E+00
   0.570597E+00   0.576279E+00   0.582102E+00   0.587845E+00   0.593104E+00
   0.598625E+00   0.604249E+00   0.609750E+00   0.614564E+00   0.619942E+00
   0.624708E+00   0.630936E+00   0.635480E+00   0.640489E+00   0.645167E+00
   0.650915E+00   0.655861E+00   0.660387E+00   0.665104E+00   0.670401E+00
   0.674871E+00   0.679167E+00   0.683781E+00   0.688623E+00   0.693231E+00
   0.697676E+00   0.701414E+00   0.706350E+00   0.710277E+00   0.714577E+00
   0.718498E+00   0.722561E+00   0.727132E+00   0.730524E+00   0.734797E+00
   0.738514E+00   0.742539E+00   0.746123E+00   0.749787E+00   0.753631E+00
   0.757268E+00   0.760610E+00   0.764154E+00   0.767669E+00   0.771476E+00
   0.774623E+00   0.777956E+00   0.781316E+00   0.785002E+00   0.787303E+00
   0.791017E+00   0.793939E+00   0.797847E+00   0.800517E+00   0.803164E+00
   0.806488E+00   0.809871E+00   0.812686E+00   0.815415E+00   0.818649E+00
   0.821745E+00   0.824659E+00   0.827482E+00   0.829886E+00   0.833095E+00
   0.835639E+00   0.838814E+00   0.841120E+00   0.843988E+00   0.846954E+00
   0.849209E+00   0.852104E+00   0.854426E+00   0.857549E+00   0.860086E+00
   0.863129E+00   0.865399E+00   0.868151E+00   0.870763E+00   0.873312E+00
   0.876101E+00   0.878726E+00   0.880803E+00   0.883474E+00   0.886426E+00
   0.889353E+00   0.891150E+00   0.893668E+00   0.896090E+00   0.898875E+00
   0.901389E+00   0.903900E+00   0.905929E+00   0.908609E+00   0.910734E+00
   0.912877E+00   0.915409E+00   0.917766E+00   0.920484E+00   0.922381E+00
   0.924825E+00   0.926728E+00   0.929264E+00   0.931552E+00   0.933689E+00
   0.937347E+00   0.937973E+00   0.939739E+00   0.942043E+00   0.944351E+00
